Aeronave,Destination_Type,Origin_Type,Capacity,Passengers,Bookings,Route,STD_Month,STA_Month,STD_Block,STA_Block
XA-VIS,2,4,186,,,288,3,3,15,18
XA-VBX,2,4,240,,,286,4,4,23,24
XA-VBT,2,2,220,,,294,1,1,24,5
XA-VXC,2,1,240,,,285,4,4,22,23
XA-VBU,2,1,220,,,285,3,3,9,11
XA-VYE,2,5,180,,,289,3,3,14,16
XA-VAJ,2,4,186,,,288,1,1,15,18
XA-VBQ,2,4,220,,,286,4,4,23,24
XA-VYA,2,5,180,,,289,3,3,14,16
XA-VAU,2,1,186,,,285,3,3,9,11
XA-VIX,2,1,186,,,285,1,1,9,11
9H-AMV,2,1,178,,,285,5,5,16,18
XA-VAP,2,1,186,,,285,2,2,9,11
XA-VAC,2,1,180,,,285,1,1,9,11
XA-VYD,2,4,180,,,286,2,2,23,24
XA-VXN,2,4,240,,,287,4,4,19,21
XA-VAM,2,4,180,,,286,1,1,23,24
XA-VAW,2,1,186,,,285,2,2,22,23
XA-VIN,2,4,186,,,288,2,2,15,18
XA-VXJ,2,4,240,,,286,4,4,23,24
XA-VAV,2,1,186,,,285,3,3,9,11
XA-VXF,2,4,240,,,286,4,4,11,13
XA-VXN,2,1,240,,,285,4,4,22,23
XA-VAM,2,4,180,,,286,1,1,23,24
XA-VBI,2,1,220,,,285,4,4,9,10
XA-VIL,2,1,186,,,285,2,2,22,23
XA-VAJ,2,1,186,,,285,1,1,21,23
XA-VIP,2,1,186,,,285,2,2,9,11
XA-VBX,2,1,240,,,285,4,4,22,23
XA-VBQ,2,4,220,,,286,4,4,11,13
XA-VAQ,2,4,186,,,288,3,3,15,18
XA-VIL,2,4,186,,,287,2,2,20,21
9H-SWJ,2,1,178,,,285,3,3,13,14
XA-VAM,2,4,180,,,286,2,2,11,13
9H-SWB,2,1,178,,,285,2,2,13,14
XA-VXF,2,4,240,,,286,4,4,23,24
XA-VAW,2,4,186,,,287,2,2,20,21
XA-VYF,2,4,180,,,288,3,3,15,18
XA-VBY,2,1,240,,,285,1,1,9,11
XA-VIA,2,5,186,,,289,1,1,14,16
XA-VYE,2,1,180,,,285,3,3,22,23
XA-VAK,2,4,186,,,286,3,3,11,13
XA-VXN,2,4,240,,,288,4,4,15,18
XA-VIH,2,4,186,,,288,1,1,15,18
9H-MLY,2,1,178,,,285,2,2,13,14
9H-AMJ,2,1,178,,,285,4,4,16,18
XA-VYB,2,1,180,,,285,2,2,9,11
XA-VBT,2,4,220,,,286,4,4,11,13
XA-VXJ,2,1,240,,,285,4,4,9,10
XA-VAJ,2,5,186,,,289,1,1,14,16
XA-VAE,2,4,186,,,288,3,3,15,18
XA-VAP,2,4,186,,,287,2,2,20,21
XA-VXP,2,4,240,,,286,4,4,11,13
XA-VAP,2,1,186,,,285,3,3,22,23
XA-VBX,2,1,240,,,285,5,5,9,10
XA-VIH,2,4,186,,,287,1,1,20,21
XA-VAM,2,4,180,,,288,2,2,15,18
XA-VAQ,2,1,186,,,285,1,1,9,11
XA-VIH,2,4,186,,,287,1,1,20,21
XA-VAJ,2,1,186,,,285,1,1,9,11
XA-VBX,2,4,240,,,287,4,4,19,21
XA-VAQ,2,4,186,,,287,1,1,20,21
XA-VAQ,2,1,186,,,285,2,2,9,11
XA-VAK,2,4,186,,,286,1,1,11,13
XA-VBT,2,4,220,,,286,4,4,11,13
XA-VXP,2,4,240,,,286,4,4,23,24
XA-VIS,2,1,186,,,285,3,3,22,23
XA-VXJ,2,1,240,,,285,4,4,22,23
9H-MLC,2,1,178,,,285,3,3,13,14
XA-VAJ,2,4,186,,,288,3,3,15,18
XA-VIH,2,4,186,,,287,1,1,20,21
XA-VBY,2,5,240,,,289,1,1,14,16
XA-VAC,2,4,180,,,286,2,2,11,13
9H-MLV,2,1,178,,,285,3,3,13,14
XA-VAJ,2,4,186,,,287,2,2,20,21
XA-VAM,2,1,180,,,285,1,1,9,11
9H-AML,2,1,178,,,285,4,4,16,18
XA-VYE,2,4,180,,,286,3,3,11,13
XA-VAM,2,4,180,,,287,1,1,20,21
XA-VAQ,2,1,186,,,285,1,1,21,23
XA-VBU,2,4,220,,,287,1,1,20,21
XA-VAK,2,4,186,,,286,3,3,11,13
XA-VIL,2,1,186,,,285,1,1,9,11
XA-VIH,2,4,186,,,286,1,1,23,24
XA-VIL,2,5,186,,,289,1,1,14,16
XA-VXC,2,4,240,,,287,4,4,19,21
XA-VAI,2,4,180,,,286,1,1,11,13
XA-VAC,2,4,180,,,288,2,2,15,18
XA-VIU,2,4,186,,,287,1,1,20,21
XA-VIE,2,4,186,,,286,3,3,23,24
XA-VAJ,2,1,186,,,285,3,3,22,23
XA-VAJ,2,1,186,,,285,3,3,9,11
XA-VIS,2,4,186,,,286,3,3,11,13
XA-VAC,2,4,180,,,286,2,2,23,24
XA-VXF,2,5,240,,,289,4,4,14,16
XA-VAQ,2,4,186,,,286,1,1,11,13
XA-VAO,2,4,186,,,286,3,3,11,13
XA-VAQ,2,5,186,,,289,1,1,14,16
XA-VBI,2,5,240,,,289,5,5,14,16
XA-VIH,2,1,186,,,285,2,2,9,11
XA-VAE,2,4,186,,,288,2,2,15,18
9H-AMI,2,1,178,,,285,3,3,13,14
XA-VXN,2,4,240,,,286,4,4,11,13
XA-VYA,2,4,180,,,286,2,2,23,24
XA-VXN,2,1,240,,,285,4,4,22,23
XA-VXN,2,4,240,,,286,4,4,23,24
XA-VAO,2,4,186,,,286,3,3,23,24
XA-VAO,2,4,186,,,288,3,3,15,18
XA-VIX,2,1,186,,,285,1,1,9,11
XA-VAO,2,1,186,,,285,3,3,21,23
XA-VAT,2,5,186,,,289,3,3,14,16
XA-VXN,2,1,240,,,285,4,4,22,23
XA-VXH,2,1,240,,,285,4,4,9,10
XA-VAN,2,1,186,,,285,2,2,22,23
XA-VAV,2,1,186,,,285,3,3,22,23
XA-VAR,2,4,186,,,288,1,1,15,18
XA-VIA,2,4,186,,,286,1,1,23,24
XA-VAU,2,4,186,,,287,1,1,20,21
XA-VIK,2,4,186,,,287,3,3,20,21
XA-VAN,2,1,186,,,285,1,1,22,23
XA-VBK,2,1,240,,,285,1,1,9,11
XA-VIH,2,1,186,,,285,2,2,22,23
XA-VXF,2,5,240,,,289,4,4,14,16
XA-VXN,2,1,240,,,285,4,4,9,10
XA-VAJ,2,5,186,,,289,2,2,14,16
XA-VAX,2,4,186,,,287,1,1,20,21
XA-VAA,2,4,186,,,288,3,3,15,18
XA-VAI,2,4,180,,,288,1,1,15,18
XA-VAR,2,1,186,,,285,3,3,9,11
XA-VBT,2,4,220,,,288,4,4,15,18
XA-VAX,2,1,186,,,285,3,3,22,23
9H-SWA,2,1,178,,,285,4,4,16,18
XA-VXE,2,4,240,,,286,4,4,23,24
XA-VBQ,2,5,220,,,289,1,1,14,16
XA-VIP,2,4,186,,,286,2,2,11,13
XA-VYE,2,4,180,,,288,1,1,15,18
XA-VBI,2,1,220,,,285,4,4,22,23
XA-VYE,2,4,180,,,286,1,1,23,24
XA-VAK,2,4,186,,,288,1,1,15,18
XA-VIK,2,1,186,,,285,2,2,9,11
XA-VIK,2,4,186,,,286,2,2,23,24
XA-VIE,2,4,186,,,286,3,3,23,24
XA-VYA,2,4,180,,,286,2,2,23,24
XA-VAJ,2,1,186,,,285,3,3,13,14
XA-VXD,2,4,240,,,286,5,5,11,12
XA-VBT,2,4,220,,,286,4,4,11,13
9H-MLV,2,1,178,,,285,4,4,16,18
XA-VAX,2,4,186,,,286,3,3,11,13
XA-VAJ,2,4,186,,,286,3,3,23,24
XA-VXC,2,1,240,,,285,4,4,22,23
XA-VXP,2,4,240,,,286,4,4,11,13
XA-VAP,2,4,186,,,286,3,3,11,13
XA-VYE,2,4,180,,,288,3,3,15,18
XA-VAR,2,1,186,,,285,2,2,22,23
XA-VYA,2,4,180,,,286,3,3,23,24
XA-VAK,2,4,186,,,287,3,3,20,21
XA-VXP,2,4,240,,,287,4,4,19,21
XA-VAC,2,5,180,,,289,2,2,14,16
XA-VIA,2,4,186,,,286,1,1,11,13
XA-VXH,2,4,240,,,286,1,1,23,24
XA-VAW,2,1,186,,,285,3,3,9,11
XA-VYF,2,1,180,,,285,2,2,22,23
9H-AMP,2,1,178,,,285,3,3,13,14
XA-VXF,2,4,240,,,288,4,4,15,18
XA-VAO,2,1,186,,,285,3,3,9,11
XA-VIL,2,4,186,,,287,1,1,20,21
XA-VAU,2,4,186,,,286,3,3,11,13
XA-VBV,2,1,220,,,285,1,1,21,23
XA-VXP,2,1,240,,,285,4,4,9,10
XA-VIK,2,1,186,,,285,3,3,22,23
XA-VAE,2,1,186,,,285,2,2,9,11
XA-VAQ,2,4,186,,,288,1,1,15,18
XA-VXC,2,1,240,,,285,4,4,22,23
XA-VXF,2,4,240,,,287,4,4,19,21
XA-VAN,2,1,186,,,285,2,2,9,11
XA-VXN,2,5,240,,,289,4,4,14,16
XA-VAQ,2,4,186,,,286,1,1,11,13
XA-VIX,2,4,186,,,287,1,1,20,21
XA-VBX,2,4,240,,,286,4,4,23,24
XA-VIP,2,4,186,,,286,2,2,23,24
XA-VYA,2,1,180,,,285,2,2,22,23
XA-VXP,2,4,240,,,286,4,4,23,24
XA-VIK,2,4,186,,,287,2,2,20,21
XA-VII,2,1,186,,,285,2,2,9,11
XA-VIP,2,4,186,,,288,2,2,15,18
XA-VIA,2,1,186,,,285,1,1,9,11
XA-VAC,2,4,180,,,286,2,2,11,13
XA-VAK,2,5,186,,,289,3,3,14,16
XA-VAI,2,4,180,,,288,1,1,15,18
XA-VYE,2,4,180,,,287,3,3,20,21
XA-VIH,2,4,186,,,287,3,3,21,23
XA-VBQ,2,4,220,,,287,4,4,19,21
XA-VAK,2,4,186,,,286,3,3,23,24
XA-VXK,2,5,240,,,289,4,4,14,16
XA-VAQ,2,4,186,,,288,1,1,15,18
XA-VAQ,2,4,186,,,287,2,2,20,21
XA-VIL,2,5,186,,,289,2,2,14,16
9H-SWA,2,1,178,,,285,3,3,13,14
XA-VXC,2,1,240,,,285,4,4,9,10
XA-VBI,2,1,220,,,285,4,4,22,23
XA-VIP,2,4,186,,,286,2,2,23,24
XA-VBI,2,5,220,,,289,4,4,14,16
XA-VAR,2,5,186,,,289,3,3,14,16
XA-VAX,2,4,186,,,286,3,3,23,24
XA-VAJ,2,4,186,,,286,1,1,23,24
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VAV,2,4,186,,,287,3,3,20,21
XA-VXP,2,4,240,,,286,4,4,23,24
XA-VAJ,2,4,186,,,288,1,1,15,18
XA-VXC,2,1,240,,,285,1,1,21,23
9H-AMM,2,1,178,,,285,5,5,16,18
XA-VAJ,2,4,186,,,286,1,1,23,24
XA-VYF,2,4,180,,,286,2,2,23,24
XA-VAP,2,4,186,,,288,2,2,15,18
XA-VIX,2,1,186,,,285,1,1,9,11
XA-VYF,2,4,180,,,287,2,2,20,21
XA-VAJ,2,4,186,,,286,3,3,23,24
9H-AMP,2,1,178,,,285,3,3,13,14
XA-VIE,2,4,186,,,288,3,3,15,18
XA-VAX,2,4,186,,,286,2,2,11,13
XA-VYE,2,1,180,,,285,1,1,21,23
XA-VBX,2,4,240,,,288,5,5,15,18
XA-VXP,2,1,240,,,285,4,4,9,10
9H-AMV,2,1,178,,,285,4,4,16,18
9H-AMP,2,1,178,,,285,4,4,16,18
XA-VBH,2,4,240,,,287,1,1,20,21
XA-VYF,2,4,180,,,288,3,3,15,18
XA-VAW,2,4,186,,,286,3,3,11,13
XA-VIE,2,4,186,,,286,3,3,11,13
XA-VBI,2,4,220,,,288,5,5,15,18
XA-VIL,2,1,186,,,285,2,2,22,23
9H-AMP,2,1,178,,,285,3,3,13,14
XA-VAP,2,1,186,,,285,3,3,9,11
XA-VAU,2,4,186,,,286,3,3,11,13
XA-VII,2,4,186,,,287,2,2,20,21
XA-VBX,2,1,240,,,285,1,1,9,11
XA-VYD,2,4,180,,,287,2,2,20,21
XA-VIN,2,4,186,,,287,3,3,20,21
XA-VAI,2,4,180,,,286,1,1,23,24
XA-VXC,2,5,240,,,289,4,4,14,16
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VAV,2,4,186,,,286,3,3,23,24
XA-VCC,2,1,230,,,285,2,2,13,14
XA-VAI,2,4,180,,,288,1,1,15,18
XA-VAI,2,4,180,,,288,1,1,15,18
XA-VAP,2,4,186,,,287,3,3,20,21
XA-VYE,2,5,180,,,289,3,3,14,16
9H-SWA,2,1,178,,,285,4,4,16,18
XA-VBQ,2,4,220,,,288,4,4,15,18
XA-VAI,2,4,180,,,286,1,1,11,13
XA-VYF,2,5,180,,,289,2,2,14,16
XA-VXP,2,1,240,,,285,4,4,9,10
XA-VBX,2,4,240,,,286,4,4,23,24
XA-VXP,2,4,240,,,286,4,4,11,13
XA-VYF,2,1,180,,,285,2,2,22,23
XA-VXE,2,4,240,,,286,4,4,23,24
XA-VBT,2,4,220,,,288,4,4,15,18
XA-VYF,2,1,180,,,285,2,2,9,11
XA-VAM,2,4,180,,,286,2,2,23,24
XA-VXC,2,5,240,,,289,4,4,14,16
XA-VAI,2,4,180,,,288,1,1,15,18
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VAN,2,4,186,,,286,2,2,23,24
9H-MLC,2,1,178,,,285,3,3,13,14
XA-VAP,2,4,186,,,286,2,2,23,24
XA-VBX,2,4,240,,,286,5,5,11,12
XA-VYF,2,4,180,,,286,1,1,11,13
XA-VAK,2,5,186,,,289,2,2,14,16
9H-AMJ,2,1,178,,,285,4,4,16,18
XA-VXE,2,4,240,,,288,4,4,15,18
XA-VAO,2,4,186,,,287,3,3,20,21
XA-VAJ,2,4,186,,,288,1,1,15,18
XA-VIH,2,1,186,,,285,1,1,9,11
XA-VXK,2,1,240,,,285,5,5,22,23
XA-VAE,2,1,186,,,285,3,3,22,23
XA-VIK,2,1,186,,,285,3,3,23,24
XA-VAK,2,4,186,,,288,1,1,15,18
9H-SWJ,2,1,178,,,285,3,3,13,14
XA-VAQ,2,4,186,,,286,1,1,23,24
XA-VIK,2,1,186,,,285,2,2,13,14
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VAQ,2,4,186,,,286,2,2,11,13
XA-VIN,2,5,186,,,289,3,3,14,16
XA-VAK,2,4,186,,,286,1,1,23,24
XA-VXP,2,5,240,,,289,4,4,14,16
XA-VAJ,2,4,186,,,287,3,3,20,21
XA-VXF,2,1,240,,,285,4,4,9,10
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VAU,2,4,186,,,286,3,3,23,24
XA-VXE,2,4,240,,,287,5,5,19,21
XA-VBQ,2,1,220,,,285,4,4,22,23
XA-VAQ,2,4,186,,,286,1,1,23,24
XA-VAI,2,4,180,,,288,1,1,15,18
XA-VIN,2,1,186,,,285,2,2,22,23
XA-VBH,2,1,240,,,285,1,1,9,11
XA-VAJ,2,4,186,,,288,3,3,15,18
XA-VIH,2,1,186,,,285,1,1,22,23
XA-VAI,2,4,180,,,286,1,1,23,24
XA-VYF,2,5,180,,,289,2,2,14,16
XA-VIK,2,5,186,,,289,3,3,14,16
XA-VAT,2,1,186,,,285,3,3,22,23
XA-VIK,2,5,186,,,289,3,3,14,16
XA-VAA,2,4,186,,,286,3,3,11,13
XA-VXN,2,5,240,,,289,4,4,14,16
XA-VAX,2,5,186,,,289,1,1,14,16
9H-MLV,2,1,178,,,285,4,4,16,18
XA-VXC,2,1,240,,,285,4,4,9,10
XA-VAJ,2,4,186,,,286,1,1,11,13
9H-MLY,2,1,178,,,285,4,4,16,18
XA-VXN,2,1,240,,,285,5,5,22,23
XA-VIP,2,5,186,,,289,2,2,14,16
XA-VAQ,2,1,186,,,285,1,1,9,11
XA-VAW,2,5,186,,,289,2,2,14,16
XA-VAX,2,5,186,,,289,3,3,14,16
XA-VIL,2,1,186,,,285,1,1,9,11
XA-VAQ,2,4,186,,,286,2,2,23,24
XA-VAC,2,1,180,,,285,2,2,22,23
XA-VIS,2,1,186,,,285,3,3,22,23
XA-VYE,2,1,180,,,285,3,3,9,11
XA-VBQ,2,1,220,,,285,1,1,9,11
XA-VBU,2,1,220,,,285,3,3,22,23
XA-VIA,2,4,186,,,288,1,1,15,18
XA-VAX,2,4,186,,,287,3,3,20,21
XA-VIK,2,5,186,,,289,2,2,14,16
XA-VXP,2,4,240,,,286,4,4,11,13
XA-VXE,2,1,240,,,285,5,5,9,10
XA-VAC,2,1,180,,,285,2,2,22,23
9H-MLV,2,1,178,,,285,4,4,16,18
XA-VIK,2,4,186,,,286,2,2,11,13
XA-VAC,2,4,180,,,287,2,2,20,21
XA-VBT,2,4,220,,,286,4,4,23,24
XA-VXJ,2,1,240,,,285,4,4,9,10
XA-VYF,2,4,180,,,287,2,2,20,21
XA-VIH,2,4,186,,,287,1,1,20,21
XA-VAU,2,4,186,,,288,3,3,15,18
XA-VAW,2,1,186,,,285,2,2,22,23
XA-VXD,2,4,240,,,287,4,4,19,21
XA-VIU,2,1,186,,,285,1,1,9,11
XA-VBI,2,1,220,,,285,5,5,9,10
XA-VXF,2,1,240,,,285,4,4,22,23
XA-VIU,2,5,186,,,289,1,1,14,16
XA-VAC,2,4,180,,,288,2,2,15,18
XA-VIL,2,4,186,,,287,2,2,20,21
XA-VAI,2,1,180,,,285,2,2,22,23
XA-VAI,2,4,180,,,286,1,1,23,24
XA-VIS,2,5,186,,,289,3,3,14,16
XA-VIH,2,5,186,,,289,1,1,14,16
XA-VXP,2,4,240,,,286,4,4,23,24
XA-VIN,2,4,186,,,288,2,2,15,18
XA-VBJ,2,1,220,,,285,2,2,13,14
XA-VAR,2,1,186,,,285,2,2,9,11
XA-VAO,2,5,186,,,289,3,3,14,16
XA-VXQ,2,1,240,,,285,4,4,22,23
XA-VXH,2,1,240,,,285,4,4,9,10
9H-SWA,2,1,178,,,285,3,3,13,14
XA-VYA,2,4,180,,,288,2,2,15,18
XA-VBX,2,4,240,,,286,4,4,11,13
XA-VXJ,2,4,240,,,288,4,4,15,18
XA-VBT,2,4,220,,,288,4,4,15,18
XA-VAW,2,1,186,,,285,2,2,9,11
XA-VAI,2,5,180,,,289,2,2,14,16
XA-VIA,2,1,186,,,285,1,1,21,23
XA-VAA,2,5,186,,,289,3,3,14,16
XA-VAI,2,5,180,,,289,3,3,14,16
9H-AML,2,1,178,,,285,3,3,13,14
XA-VAE,2,5,186,,,289,3,3,14,16
XA-VIA,2,4,186,,,287,1,1,20,21
XA-VAR,2,1,186,,,285,1,1,21,23
XA-VIN,2,1,186,,,285,2,2,9,11
XA-VBU,2,5,220,,,289,1,1,14,16
XA-VIN,2,4,186,,,286,2,2,11,13
9H-MLV,2,1,178,,,285,4,4,16,18
XA-VIK,2,4,186,,,287,3,3,20,21
XA-VXC,2,4,240,,,286,4,4,11,13
XA-VBX,2,4,240,,,286,5,5,11,12
XA-VXH,2,5,240,,,289,4,4,14,16
9H-SWB,2,1,178,,,285,3,3,13,14
XA-VAC,2,1,180,,,285,2,2,9,11
XA-VXH,2,1,240,,,285,4,4,22,23
XA-VIL,2,4,186,,,287,1,1,20,21
XA-VAX,2,1,186,,,285,3,3,22,23
XA-VAM,2,4,180,,,288,2,2,15,18
XA-VAM,2,4,180,,,288,1,1,15,18
XA-VYF,2,1,180,,,285,2,2,9,11
XA-VXC,2,1,240,,,285,4,4,9,10
XA-VYE,2,4,180,,,288,3,3,15,18
XA-VXP,2,4,240,,,286,4,4,23,24
XA-VBT,2,4,220,,,286,3,3,11,13
XA-VAM,2,4,180,,,287,3,3,21,22
XA-VXJ,2,4,240,,,286,4,4,11,13
XA-VAJ,2,4,186,,,286,2,2,23,24
XA-VAK,2,4,186,,,288,3,3,15,18
XA-VYF,2,4,180,,,288,2,2,15,18
9H-AMJ,2,1,178,,,285,4,4,16,18
XA-VAR,2,4,186,,,286,3,3,23,24
XA-VBT,2,4,220,,,286,4,4,11,13
XA-VIN,2,5,186,,,289,2,2,14,16
XA-VIX,2,5,186,,,289,1,1,14,16
XA-VAJ,2,4,186,,,288,1,1,15,18
XA-VAQ,2,4,186,,,286,3,3,11,13
XA-VIH,2,1,186,,,285,1,1,21,23
XA-VBT,2,1,220,,,285,3,3,22,23
XA-VXJ,2,5,240,,,289,4,4,14,16
XA-VIH,2,1,186,,,285,1,1,9,11
XA-VIA,2,4,186,,,288,1,1,15,18
XA-VIX,2,1,186,,,285,1,1,9,11
XA-VYA,2,1,180,,,285,2,2,9,11
XA-VAA,2,4,186,,,286,1,1,23,24
XA-VIL,2,1,186,,,285,2,2,9,11
XA-VAI,2,4,180,,,286,1,1,23,24
XA-VAQ,2,1,186,,,285,1,1,22,23
XA-VBT,2,4,220,,,286,4,4,23,24
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VXN,2,4,240,,,287,4,4,19,21
XA-VIN,2,4,186,,,287,2,2,20,21
XA-VBP,2,1,220,,,285,2,2,13,14
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VYA,2,4,180,,,288,2,2,15,18
XA-VAN,2,5,186,,,289,2,2,14,16
XA-VIX,2,3,186,,,296,4,4,9,11
XA-VAX,2,4,186,,,286,3,3,23,24
XA-VAR,2,4,186,,,287,3,3,20,21
XA-VXF,2,1,240,,,285,4,4,9,10
XA-VIS,2,1,186,,,285,3,3,9,11
XA-VAA,2,4,186,,,288,3,3,15,18
XA-VIN,2,5,186,,,289,3,3,14,16
XA-VXP,2,4,240,,,286,4,4,23,24
XA-VIP,2,4,186,,,288,2,2,15,18
9H-AMV,2,1,178,,,285,4,4,16,18
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VXJ,2,4,240,,,287,4,4,19,21
XA-VIN,2,4,186,,,286,2,2,11,13
XA-VIP,2,4,186,,,288,2,2,15,18
XA-VXP,2,1,240,,,285,4,4,22,23
XA-VAK,2,4,186,,,286,1,1,11,13
XA-VYF,2,4,180,,,286,2,2,23,24
9H-SWJ,2,1,178,,,285,3,3,13,14
XA-VAQ,2,4,186,,,286,1,1,23,24
XA-VYE,2,1,180,,,285,1,1,9,11
XA-VAM,2,5,180,,,289,1,1,14,16
XA-VYF,2,4,180,,,286,2,2,23,24
XA-VAX,2,4,186,,,288,3,3,15,18
XA-VXC,2,1,240,,,285,4,4,22,23
XA-VAC,2,4,180,,,286,2,2,23,24
XA-VIP,2,4,186,,,286,2,2,11,13
XA-VYD,2,4,180,,,288,2,2,15,18
XA-VAU,2,1,186,,,285,3,3,9,11
XA-VIN,2,4,186,,,286,2,2,23,24
XA-VIX,2,5,186,,,289,1,1,14,16
XA-VYF,2,4,180,,,286,2,2,11,13
9H-AMJ,2,1,178,,,285,3,3,13,14
XA-VBX,2,4,240,,,286,5,5,23,24
XA-VAJ,2,4,186,,,286,1,1,11,13
XA-VBI,2,4,220,,,286,5,5,23,24
XA-VXP,2,4,240,,,288,4,4,15,18
XA-VAR,2,4,186,,,288,3,3,15,18
XA-VAE,2,1,186,,,285,2,2,13,14
XA-VAJ,2,4,186,,,286,1,1,23,24
XA-VYA,2,4,180,,,286,3,3,11,13
XA-VBT,2,4,220,,,286,4,4,11,13
XA-VIP,2,4,186,,,286,2,2,23,24
XA-VXP,2,1,240,,,285,2,2,22,23
XA-VXH,2,1,240,,,285,4,4,22,23
XA-VAT,2,4,186,,,287,3,3,20,21
XA-VXJ,2,4,240,,,287,4,4,19,21
XA-VAM,2,4,180,,,286,2,2,11,13
XA-VBQ,2,5,220,,,289,4,4,14,16
XA-VAR,2,1,186,,,285,3,3,22,23
XA-VAR,2,4,186,,,286,1,1,23,24
XA-VAC,2,4,180,,,288,2,2,15,18
XA-VAR,2,4,186,,,287,2,2,20,21
XA-VIP,2,4,186,,,286,2,2,23,24
XA-VAE,2,5,186,,,289,2,2,14,16
XA-VIL,2,1,186,,,285,2,2,9,11
XA-VXP,2,1,240,,,285,4,4,22,23
XA-VXH,2,5,240,,,289,4,4,14,16
XA-VIX,2,1,186,,,285,1,1,21,23
XA-VYB,2,4,180,,,287,2,2,20,21
XA-VXR,2,4,240,,,287,4,4,19,21
XA-VAJ,2,5,186,,,289,3,3,14,16
XA-VYA,2,4,180,,,286,2,2,23,24
XA-VYD,2,4,180,,,286,2,2,11,13
XA-VBT,2,4,220,,,288,4,4,15,18
XA-VAJ,2,4,186,,,288,1,1,15,18
XA-VAK,2,1,186,,,285,2,2,9,11
XA-VAJ,2,4,186,,,286,1,1,23,24
XA-VIK,2,1,186,,,285,3,3,22,23
9H-SWA,2,1,178,,,285,4,4,16,18
XA-VAO,2,4,186,,,288,3,3,15,18
XA-VXP,2,1,240,,,285,4,4,9,10
XA-VAJ,2,1,186,,,285,2,2,9,11
XA-VXH,2,4,240,,,287,1,1,20,21
XA-VYE,2,4,180,,,286,3,3,23,24
XA-VXR,2,1,240,,,285,4,4,9,10
XA-VBP,2,5,220,,,289,1,1,14,16
XA-VXC,2,4,240,,,287,4,4,19,21
XA-VYE,2,5,180,,,289,1,1,14,16
XA-VAP,2,4,186,,,288,3,3,15,18
XA-VXE,2,5,240,,,289,5,5,14,16
XA-VBT,2,1,220,,,285,4,4,9,10
XA-VAW,2,1,186,,,285,2,2,9,11
XA-VBV,2,1,220,,,285,2,2,13,14
XA-VXM,2,1,240,,,290,3,3,2,3
XA-VYA,2,1,180,,,285,3,3,22,23
XA-VIP,2,4,186,,,286,2,2,11,13
XA-VIN,2,1,186,,,285,3,3,9,11
XA-VYE,2,4,180,,,286,3,3,23,24
XA-VBI,2,1,240,,,285,5,5,9,10
XA-VIK,2,5,186,,,289,2,2,14,16
XA-VXC,2,4,240,,,287,4,4,19,21
XA-VAK,2,1,186,,,285,2,2,22,23
XA-VBT,2,4,220,,,286,4,4,11,13
XA-VAW,2,5,186,,,289,3,3,14,16
XA-VAX,2,4,186,,,286,2,2,23,24
XA-VAO,2,4,186,,,287,3,3,20,21
XA-VXP,2,4,240,,,286,4,4,11,13
XA-VXK,2,1,240,,,285,4,4,22,23
XA-VIU,2,1,186,,,285,1,1,21,23
XA-VAQ,2,1,186,,,285,3,3,22,23
XA-VIL,2,5,186,,,289,3,3,14,16
XA-VIU,2,1,186,,,285,1,1,21,23
9H-AMP,2,1,178,,,285,5,5,16,18
XA-VXC,2,4,240,,,288,4,4,15,18
XA-VIA,2,4,186,,,286,1,1,11,13
XA-VBT,2,4,220,,,288,4,4,15,18
XA-VIN,2,1,186,,,285,3,3,9,11
XA-VYA,2,4,180,,,287,2,2,20,21
9H-SWJ,2,1,178,,,285,2,2,13,14
XA-VAR,2,1,186,,,285,1,1,9,11
XA-VAC,2,1,180,,,285,2,2,9,11
XA-VAO,2,4,186,,,287,3,3,20,21
XA-VXH,2,4,240,,,287,4,4,19,21
XA-VIN,2,4,186,,,286,2,2,23,24
9H-AMP,2,1,178,,,285,4,4,16,18
XA-VYD,2,5,180,,,289,2,2,14,16
9H-AMJ,2,1,178,,,285,3,3,13,14
XA-VBU,2,4,220,,,287,3,3,20,21
XA-VBT,2,4,220,,,288,4,4,15,18
XA-VXD,2,1,240,,,285,5,5,22,23
XA-VXF,2,4,240,,,287,4,4,19,21
XA-VXK,2,4,240,,,287,4,4,19,21
XA-VBT,2,4,220,,,286,4,4,23,24
9H-MLV,2,1,178,,,285,4,4,16,18
XA-VAX,2,4,186,,,288,2,2,15,18
XA-VIH,2,4,186,,,286,1,1,11,13
XA-VYB,2,5,180,,,289,2,2,14,16
XA-VIF,2,4,186,,,286,1,1,11,13
XA-VAO,2,4,186,,,286,3,3,11,13
XA-VBX,2,5,240,,,289,1,1,14,16
XA-VAQ,2,4,186,,,286,1,1,11,13
XA-VAC,2,4,180,,,286,2,2,23,24
XA-VBT,2,4,220,,,286,4,4,23,24
XA-VAJ,2,5,186,,,289,2,2,14,16
XA-VAU,2,4,186,,,287,3,3,20,21
